,orig_index,Datetime,Tweet Id,Text,Username,tweet_len,tweet_num,score,magnitude,google_language,google_entities,google_categories
10,10,2022-01-26 19:21:08+00:00,1.486418949340283e+18,Bitcoin briefly climbed more than 6% to around after the Fed announcement ,business,74,10.0,0.0,0.0,en,"NUMBER,OTHER,EVENT,ORGANIZATION",
11,11,2022-01-26 19:15:19+00:00,1.4864174846935204e+18,"*BITCOIN, ETHEREUM JUMP AS CRYPTOS RALLY AFTER FED DECISION ",Investingcom,60,11.0,-0.2000000029802322,0.2000000029802322,en,"OTHER,EVENT",
12,12,2022-01-26 18:31:06+00:00,1.486406359247696e+18,ARK still believes that one Bitcoin could still hit million by 2030 despite the slow down ,business,90,12.0,-0.1000000014901161,0.1000000014901161,en,"NUMBER,OTHER,LOCATION,DATE",
13,13,2022-01-26 18:18:06+00:00,1.4864030858827694e+18,Bitcoin is proving that it’s not immune to the uncertainty around the Fed’s ability to cool inflation despite its billing by advocates as a hedge again rising prices ,business,166,13.0,-0.3000000119209289,0.3000000119209289,en,"OTHER,ORGANIZATION,PERSON","/Finance/Investing/Currencies & Foreign Exchange,/Business & Industrial,/News/Business News"
14,14,2022-01-26 18:12:05+00:00,1.4864015709169418e+18,Institutional pros have a fresh way to navigate the crypto boom and bust via a new hedging tool offering 20-times the daily performance of Bitcoin ,business,147,14.0,0.800000011920929,0.800000011920929,en,"OTHER,PERSON,EVENT,NUMBER",/Finance
15,15,2022-01-26 15:00:18+00:00,1.486353310181384e+18,"From the S P to Bitcoin, everything has taken a hit this year. But, it's the most speculative stuff that's leading the selloff. Read The Big Take ",business,146,15.0,0.2000000029802322,1.0,en,"OTHER,LOCATION,WORK_OF_ART",/Finance/Investing/Currencies & Foreign Exchange
16,16,2022-01-26 14:24:13+00:00,1.486344227881689e+18,*PUTIN: RUSSIA HAS SOME ADVANTAGES IN CRYPTO MINING *PUTIN ASKS FIN.MINISTRY AND CENTRAL BANK TO AGREE ON CRYPTO ,Investingcom,113,16.0,0.0,0.0,en,"OTHER,ORGANIZATION","/News/Politics,/Law & Government/Government"
17,17,2022-01-26 12:43:08+00:00,1.4863187889119724e+18,"3 metrics suggest Bitcoin is in a ""prolonged bear market,"" according to market-intelligence firm Glassnode ",business,107,17.0,-0.1000000014901161,0.1000000014901161,en,"NUMBER,OTHER,ORGANIZATION",/Finance/Investing/Currencies & Foreign Exchange
18,18,2022-01-26 12:00:20+00:00,1.4863080171256627e+18,"From the S P to Bitcoin, everything has taken a hit this year. But, it's the most speculative stuff that's leading the selloff. Read The Big Take ",business,146,18.0,0.2000000029802322,1.0,en,"OTHER,LOCATION,WORK_OF_ART",/Finance/Investing/Currencies & Foreign Exchange
19,19,2022-01-26 10:22:05+00:00,1.48628329281092e+18,"“Gm gm -- make sure you stay warm, crypto winter is in full force.” Mentions of “crypto winter” and “crypto ice age” are flooding social media sending chills to the battered Bitcoin faithful ",business,191,19.0,-0.1000000014901161,0.699999988079071,en,"OTHER,PERSON",
20,20,2022-01-26 09:52:49+00:00,1.4862759289720422e+18,Bitcoin advances close to along with U.S. equity futures ahead of a pivotal Fed Reserve decision that will shape expectations for monetary tightening ,business,150,20.0,0.699999988079071,0.699999988079071,en,"OTHER,LOCATION",/Finance/Investing/Currencies & Foreign Exchange
21,21,2022-01-26 09:00:10+00:00,1.48626267943415e+18,"Executive directors at the IMF, from which El Salvador is seeking more than in financing, raised concerns about ""large risks associated with the use of bitcoin on financial stability, financial integrity and consumer protection"" ",FinancialTimes,229,21.0,-0.3000000119209289,0.3000000119209289,en,"PERSON,ORGANIZATION,OTHER,LOCATION","/Business & Industrial,/Law & Government/Government"
22,22,2022-01-26 09:00:04+00:00,1.4862626512441344e+18,"From the S P to Bitcoin, everything has taken a hit this year. But, it's the most speculative stuff that's leading the selloff. Read The Big Take ",business,146,22.0,0.2000000029802322,1.0,en,"OTHER,LOCATION,WORK_OF_ART",/Finance/Investing/Currencies & Foreign Exchange
23,23,2022-01-26 06:08:05+00:00,1.486219373236965e+18,"NEW: From the S P to Bitcoin, everything has taken a hit this year. But, it's the most speculative stuff that's leading the selloff. Read The Big Take ",business,151,23.0,0.0,0.699999988079071,en,"OTHER,LOCATION,WORK_OF_ART",/Finance/Investing/Currencies & Foreign Exchange
24,24,2022-01-26 03:30:12+00:00,1.4861796388041933e+18,"After adopting bitcoin as national currency, El Salvador plans to issue bonds backed by bitcoin as negotiations with the IMF stall ",WSJ,131,24.0,-0.1000000014901161,0.1000000014901161,en,"OTHER,EVENT,LOCATION,ORGANIZATION",/Finance/Investing/Currencies & Foreign Exchange
25,25,2022-01-25 20:00:22+00:00,1.4860664357303867e+18,The ballooning popularity of Bitcoin and other digital currencies has given rise to a strange new political breed: the crypto mayor. ,nytimes,133,25.0,-0.5,0.5,en,"PERSON,OTHER",/Finance/Investing/Currencies & Foreign Exchange
26,26,2022-01-25 19:54:44+00:00,1.4860650171832156e+18,"The IMF's board urged El Salvador to strip Bitcoin of its status as legal tender in the country, citing risks to “financial stability, financial integrity, and consumer protection” ",business,181,26.0,-0.5,0.5,en,"OTHER,ORGANIZATION,LOCATION",/Finance/Investing
27,27,2022-01-25 13:43:05+00:00,1.4859714864521134e+18,"Sure, Bitcoin and other cryptocurrencies have no ""economic anchor,"" but neither does the dollar, with Nixon having abandoned the gold standard in the 1970s via ",business,160,27.0,-0.699999988079071,0.699999988079071,en,"PERSON,OTHER,NUMBER",/Finance/Investing/Currencies & Foreign Exchange
28,28,2022-01-25 10:53:02+00:00,1.485928692782088e+18,Bitcoin miners are facing a crucial test in the wake of the token’s 50% plunge from an all-time high ,business,101,28.0,-0.4000000059604645,0.4000000059604645,en,"OTHER,PERSON,NUMBER",/Finance/Investing/Currencies & Foreign Exchange
29,29,2022-01-25 10:29:55+00:00,1.4859228774467953e+18,"*BITCOIN, ETHEREUM SURGE AS CRYPTOS REBOUND AFTER STEEP SELLOFF ",Investingcom,64,29.0,-0.1000000014901161,0.1000000014901161,en,OTHER,
30,30,2022-01-25 07:52:06+00:00,1.485883158679675e+18,See Bitcoin as a haven from falling stock markets? You might want to see this ,business,78,30.0,0.3000000119209289,0.800000011920929,en,OTHER,
31,31,2022-01-25 05:28:05+00:00,1.4858469168774103e+18,"“Gm gm -- make sure you stay warm, crypto winter is in full force.” Mentions of “crypto winter” and “crypto ice age” are flooding social media sending chills to the battered Bitcoin faithful ",business,191,31.0,-0.1000000014901161,0.699999988079071,en,"OTHER,PERSON",
32,32,2022-01-25 05:18:03+00:00,1.4858443912604751e+18,"“Gm gm -- make sure you stay warm, crypto winter is in full force.” Mentions of “crypto winter” and “crypto ice age” are flooding social media sending chills to the battered Bitcoin faithful ",business,191,32.0,-0.1000000014901161,0.699999988079071,en,"OTHER,PERSON",
33,33,2022-01-25 01:48:06+00:00,1.4857915581128827e+18,The Mayor’s office confirmed that his first gross paycheck of would be converted into Bitcoin and Ethereum as crypto markets crashed ,business,133,33.0,-0.4000000059604645,0.4000000059604645,en,"OTHER,PERSON,ORGANIZATION",
34,34,2022-01-24 23:15:06+00:00,1.4857530512563405e+18,"Bitcoin rallied Monday afternoon, trading above after falling to a seven-month low in the morning ",WSJ,98,34.0,-0.4000000059604645,0.4000000059604645,en,"NUMBER,OTHER",
35,35,2022-01-24 19:30:08+00:00,1.4856964388184596e+18,"Bitcoin stocks plummeted 50% below its November peak, sending ricochets across the stock market ",FinancialTimes,96,35.0,-0.4000000059604645,0.4000000059604645,en,"NUMBER,OTHER",
36,36,2022-01-24 18:43:06+00:00,1.485684603415376e+18,The slide in MicroStrategy shares has deepened as investors reassess the company’s Bitcoin buying strategy in the wake of an unfavorable SEC accounting ruling ,business,159,36.0,-0.1000000014901161,0.1000000014901161,en,"PERSON,OTHER,ORGANIZATION",/Finance/Investing
37,37,2022-01-24 17:42:06+00:00,1.485669248928256e+18,How much lower can Bitcoin go? Traders now think the coin will find support at around ,business,86,37.0,0.2000000029802322,0.5,en,"PERSON,OTHER",
38,38,2022-01-24 13:55:00+00:00,1.4856120983946076e+18,*BITCOIN TUMBLES TO SIX-MONTH LOW AS CRYPTO LOSSES DEEPEN - ,Investingcom,60,38.0,-0.2000000029802322,0.2000000029802322,en,"NUMBER,OTHER",
39,39,2022-01-24 12:33:46+00:00,1.4855916547697705e+18," BREAKING: *BITCOIN FALLS BELOW FOR FIRST TIME SINCE JULY 2021, DOWN 6% ON DAY ",Investingcom,79,39.0,-0.4000000059604645,0.4000000059604645,en,"NUMBER,OTHER,EVENT,DATE",
40,40,2022-01-24 11:55:10+00:00,1.4855819426869453e+18,"The crypto selloff gains new momentum, with Bitcoin hitting a six-month low and other tokens seeing big losses ",business,111,40.0,-0.2000000029802322,0.2000000029802322,en,"NUMBER,OTHER",/Finance/Investing/Currencies & Foreign Exchange
41,41,2022-01-24 11:00:00+00:00,1.485568060484432e+18," BREAKING: *BITCOIN FALLS AGAIN, LAST DOWN 7% TO AS CRYPTOS RESUME SELLOFF - ",Investingcom,77,41.0,-0.5,0.5,en,"NUMBER,OTHER,EVENT",
42,42,2022-01-24 10:48:02+00:00,1.485565048378511e+18,Bitcoin's price correlation with stocks has never been higher. That may be a good thing ,business,88,42.0,0.1000000014901161,1.100000023841858,en,OTHER,
43,43,2022-01-24 03:47:00+00:00,1.485459090138534e+18,WATCH: The rollercoaster ride for crypto currencies continues. Digital coins from Bitcoin to Ether to Solana were crushed in a brutal selloff last week via ,business,156,43.0,-0.2000000029802322,0.6000000238418579,en,"PERSON,OTHER,EVENT,LOCATION,CONSUMER_GOOD",/Finance/Investing/Currencies & Foreign Exchange
44,44,2022-01-24 01:04:07+00:00,1.485418101114085e+18,Start 2022 with a better understanding of Bitcoin. Be the first to know when our Bloomberg Crypto newsletter launches. Sign up to get the biggest crypto stories in your inbox ,business,175,44.0,0.1000000014901161,0.4000000059604645,en,"OTHER,WORK_OF_ART,ORGANIZATION,DATE,NUMBER",/Finance/Investing/Currencies & Foreign Exchange
45,45,2022-01-23 11:12:28+00:00,1.4852088095513231e+18,"*BITCOIN, ETHEREUM REBOUND AS CRYPTO SELLOFF PAUSES ",Investingcom,52,45.0,0.0,0.0,en,OTHER,
46,46,2022-01-22 22:54:56+00:00,1.4850232034582692e+18,"*BITCOIN HAS LOST 50% SINCE HITTING RECORD HIGH, MORE THAN BILLION IN MARKET VALUE HAS BEEN WIPED OUT ",Investingcom,102,46.0,-0.6000000238418579,0.6000000238418579,en,"NUMBER,OTHER",/Finance/Investing/Currencies & Foreign Exchange
47,47,2022-01-22 22:50:24+00:00,1.485022059638018e+18,"The risk-off attitude and selling pressure across the global crypto market showed no sign of abating on Saturday, with Bitcoin and Ether declining further after an already brutal week ",business,184,47.0,-0.800000011920929,0.800000011920929,en,"PERSON,OTHER",/Finance/Investing
48,48,2022-01-22 20:12:49+00:00,1.4849824037561713e+18,"Bitcoin has lost almost half its value since its November high, with cryptocurrency prices continuing to plunge as major economies look to curb their growing popularity ",CNN,169,48.0,-0.800000011920929,0.800000011920929,en,OTHER,/Finance/Investing/Currencies & Foreign Exchange
49,49,2022-01-22 17:08:10+00:00,1.484935935074648e+18,Bitcoin. Blockchain. Web3. Make sense of it all with our new newsletter. Sign up here ,business,86,49.0,0.2000000029802322,1.100000023841858,en,"OTHER,WORK_OF_ART",
50,50,2022-01-22 15:29:33+00:00,1.4849111163966792e+18,"*BITCOIN, ETHEREUM TUMBLE AS CRYPTOS SINK IN WEEKEND TRADE ",Investingcom,59,50.0,0.0,0.0,en,OTHER,
51,51,2022-01-22 13:47:05+00:00,1.484885333493928e+18,"Bitcoin drops more than 50% from its record high, extending a crypto meltdown that erased more than trillion in value ",business,118,51.0,-0.6000000238418579,0.6000000238418579,en,"NUMBER,OTHER",/Finance/Investing/Currencies & Foreign Exchange
52,52,2022-01-22 11:04:28+00:00,1.4848444086757455e+18,"Bitcoin drops more than 50% from its record high, extending a crypto meltdown that erased more than trillion in value ",business,118,52.0,-0.6000000238418579,0.6000000238418579,en,"NUMBER,OTHER",/Finance/Investing/Currencies & Foreign Exchange
53,53,2022-01-22 11:01:47+00:00,1.484843733627687e+18,"*EL SALVADOR BOUGHT THE DIP, PURCHASED 410 BITCOIN FOR MILLION AMID SELLOFF ",Investingcom,76,53.0,0.1000000014901161,0.1000000014901161,en,"NUMBER,OTHER,LOCATION",
54,54,2022-01-22 10:35:26+00:00,1.4848371003023483e+18,"JUST IN: Bitcoin drops more than 50% from its record high, extending a crypto meltdown that erased more than trillion in value ",business,127,54.0,-0.4000000059604645,0.4000000059604645,en,"NUMBER,OTHER",/Finance/Investing/Currencies & Foreign Exchange
55,55,2022-01-22 07:04:40+00:00,1.484784061860266e+18,*BITCOIN TUMBLES 8% TO LOWEST SINCE JULY 2021 ,Investingcom,46,55.0,0.0,0.0,en,"NUMBER,OTHER,DATE",
56,56,2022-01-22 05:27:47+00:00,1.4847596804885545e+18,*CRYPTO CRASH ERASES MORE THAN TRILLION IN MARKET VALUE ,Investingcom,56,56.0,0.4000000059604645,0.4000000059604645,en,"OTHER,EVENT",
57,57,2022-01-22 02:45:04+00:00,1.484718730970116e+18,"It is becoming a more common occurrence: When stocks fall, so does bitcoin ",WSJ,75,57.0,-0.2000000029802322,0.2000000029802322,en,OTHER,
58,58,2022-01-22 00:15:51+00:00,1.4846811794166948e+18,"El Salvador President Nayib Bukele, who’s known to “buy the dip” amid Bitcoin selloffs, didn’t disappoint crypto-enthusiasts on Friday ",business,135,58.0,0.4000000059604645,0.4000000059604645,en,"OTHER,PERSON,LOCATION",/News
59,59,2022-01-21 23:55:58+00:00,1.4846761754651727e+18,*BITCOIN FALLS TO LOWEST SINCE JULY 2021 *ETHEREUM PLUNGES TO LOWEST SINCE AUGUST 2021 ,Investingcom,87,59.0,0.0,0.0,en,"NUMBER,OTHER,DATE",
60,60,2022-01-21 23:52:34+00:00,1.484675316526289e+18," BREAKING: *BITCOIN, ETHEREUM PLUNGE AS CRYPTOS SINK FURTHER AMID U.S. TECH WRECK ",Investingcom,82,60.0,-0.3000000119209289,0.3000000119209289,en,"OTHER,EVENT,LOCATION",
61,61,2022-01-21 23:50:27+00:00,1.4846747862404833e+18,"MicroStrategy can’t strip out Bitcoin’s wild swings from the unofficial accounting measures it touts to investors, the SEC says ",business,128,61.0,-0.6000000238418579,0.6000000238418579,en,"OTHER,ORGANIZATION,PERSON",/Finance/Investing/Currencies & Foreign Exchange
62,62,2022-01-21 23:01:32+00:00,1.4846624769145403e+18,"For Bitcoin, there’s only been one constant of late: losses. Here’s your Evening Briefing ",business,90,62.0,-0.3000000119209289,0.699999988079071,en,"PERSON,OTHER,NUMBER,WORK_OF_ART",
63,63,2022-01-21 22:54:02+00:00,1.4846605889031247e+18,BlackRock has decided that now's the time to launch a ‘Blockchain and Tech’ fund. Bitcoin is not cooperating ,business,109,63.0,-0.4000000059604645,0.8999999761581421,en,"OTHER,ORGANIZATION",/Finance/Investing/Currencies & Foreign Exchange
64,64,2022-01-21 22:04:07+00:00,1.484648027239424e+18,Start 2022 with a better understanding of Bitcoin. Be the first to know when our Bloomberg Crypto newsletter launches. Sign up to get the biggest crypto stories in your inbox ,business,175,64.0,0.1000000014901161,0.4000000059604645,en,"OTHER,WORK_OF_ART,ORGANIZATION,DATE,NUMBER",/Finance/Investing/Currencies & Foreign Exchange
65,65,2022-01-21 19:30:03+00:00,1.4846092518426993e+18,"2021 was a stellar year in the crypto galaxy. Today, Bitcoin is down 20%. While the technology complicates federal regulation attempts, crypto might not be as decentralised and global as its advocates like to make out, writes ",FinancialTimes,226,65.0,0.0,1.100000023841858,en,"PERSON,OTHER,NUMBER,DATE",/Finance/Investing/Currencies & Foreign Exchange
66,66,2022-01-21 18:53:42+00:00,1.484600106397614e+18,"As Bitcoin slips to the lowest price since August, its decline in tandem with risk assets such as tech stocks is raising doubts about its long-touted similarity to gold ",business,169,66.0,-0.699999988079071,0.699999988079071,en,OTHER,/Finance/Investing/Currencies & Foreign Exchange
67,67,2022-01-21 17:43:59+00:00,1.4845825620308337e+18,"Bitcoin’s decline since its November high has wiped out more than billion in market value, and roughly trillion has been lost from the aggregate crypto market ",business,159,67.0,-0.699999988079071,0.699999988079071,en,"OTHER,EVENT",/Finance/Investing/Currencies & Foreign Exchange
68,68,2022-01-21 17:27:05+00:00,1.4845783084278538e+18,"A former Goldman Sachs bond trader launched his first crypto fund nearly 10 years ago, when a Bitcoin cost less than a bag of groceries. Since then it's returned more than 65,000% ",business,180,68.0,-0.2000000029802322,0.6000000238418579,en,"OTHER,ORGANIZATION,NUMBER","/Business & Industrial,/Finance/Investing"
69,69,2022-01-21 15:15:46+00:00,1.4845452612382024e+18,"Bitcoin sank as much as 8.7% on Friday, marking a three-day downturn ",business,69,69.0,-0.699999988079071,0.699999988079071,en,"NUMBER,OTHER,EVENT",
70,70,2022-01-21 15:06:03+00:00,1.484542816147714e+18,New York City Mayor Eric Adams says his first paycheck will be converted into Ethereum and Bitcoin ,business,99,70.0,-0.2000000029802322,0.2000000029802322,en,"OTHER,PERSON,LOCATION",
71,71,2022-01-21 13:38:49+00:00,1.4845208650479247e+18," BREAKING: *BITCOIN, ETHEREUM TUMBLE AS CRYPTOS EXTEND LOSSES AMID MARKET SELLOFF ",Investingcom,82,71.0,-0.1000000014901161,0.1000000014901161,en,"OTHER,EVENT",
72,72,2022-01-21 13:10:10+00:00,1.4845136516168827e+18,Bitcoin. Blockchain. Web3. Make sense of it all with our new newsletter. Sign up here ,business,86,72.0,0.2000000029802322,1.100000023841858,en,"OTHER,WORK_OF_ART",
73,73,2022-01-21 11:58:17+00:00,1.4844955648594e+18,"It's becoming a more common occurrence: When stocks fall, so does bitcoin ",WSJ,74,73.0,-0.2000000029802322,0.2000000029802322,en,OTHER,
74,74,2022-01-21 11:30:04+00:00,1.484488461759488e+18,Bitcoin and its peers tumbled on Friday as a sell-off in speculative assets picked up steam and after Russia’s central bank proposed to ban all cryptocurrency operations in the country ,FinancialTimes,185,74.0,-0.6000000238418579,0.6000000238418579,en,"PERSON,OTHER,ORGANIZATION,EVENT,LOCATION",/Finance/Investing/Currencies & Foreign Exchange
75,75,2022-01-21 09:29:04+00:00,1.4844580098961408e+18,The price of bitcoin dropped as much as 7.4 per cent against the dollar ,FinancialTimes,72,75.0,-0.1000000014901161,0.1000000014901161,en,"NUMBER,OTHER",
76,76,2022-01-21 07:40:07+00:00,1.4844305941718835e+18,This price chart suggests Bitcoin may be nearing a bottom ,business,58,76.0,-0.3000000119209289,0.3000000119209289,en,OTHER,
77,77,2022-01-21 07:00:05+00:00,1.4844205193278505e+18,"Biden warns Putin, assets are selling off globally, and Bitcoin falls below This is what’s moving markets today ",business,112,77.0,-0.800000011920929,0.800000011920929,en,"OTHER,PERSON","/Finance/Investing,/News/Business News"
78,78,2022-01-21 05:18:42+00:00,1.4843950048482263e+18," BREAKING: *BITCOIN, ETHEREUM PLUNGE AMID RUSSIA CRYPTO BAN, U.S. TECH WRECK ",Investingcom,77,78.0,-0.2000000029802322,0.2000000029802322,en,"OTHER,EVENT,LOCATION",
79,79,2022-01-21 04:57:26+00:00,1.4843896541996196e+18, BREAKING: *BITCOIN SINKS BELOW LAST DOWN 7% TO *ETHEREUM DROPS BELOW LAST DOWN 8% TO ,Investingcom,86,79.0,-0.5,0.5,en,"NUMBER,OTHER,EVENT",/Finance/Investing/Currencies & Foreign Exchange
80,80,2022-01-21 04:48:02+00:00,1.4843872870017024e+18,"Cryptocurrencies sank Friday, taking Bitcoin to the lowest level in more than five months as risk aversion again swept across global markets ",business,141,80.0,-0.5,0.5,en,"NUMBER,OTHER",/Finance/Investing/Currencies & Foreign Exchange
81,81,2022-01-21 03:59:05+00:00,1.484374969400234e+18,Russia’s central bank proposes a complete ban on crypto mining and trading. Bitcoin’s reaction: No worries ,business,107,81.0,-0.1000000014901161,0.5,en,"OTHER,ORGANIZATION,LOCATION",/Finance/Investing/Currencies & Foreign Exchange
82,82,2022-01-21 02:16:06+00:00,1.4843490501785231e+18,Russia’s central bank proposes a complete ban on crypto mining and trading. Bitcoin’s reaction: No worries ,business,107,82.0,-0.1000000014901161,0.5,en,"OTHER,ORGANIZATION,LOCATION",/Finance/Investing/Currencies & Foreign Exchange
83,83,2022-01-21 00:30:14+00:00,1.4843224106481254e+18,Bitcoin is proving once again that its long-touted classification as an uncorrelated asset is more folklore than fact ,business,118,83.0,-0.1000000014901161,0.1000000014901161,en,OTHER,/Finance/Investing/Currencies & Foreign Exchange
84,84,2022-01-20 20:30:08+00:00,1.4842619879997563e+18,"Mayor Eric Adams, who wants New York City to become the global capital for cryptocurrency, will have his first paycheck converted into Bitcoin and Ethereum. ",nytimes,157,84.0,0.0,0.0,en,"OTHER,PERSON,LOCATION",
85,85,2022-01-20 19:19:50+00:00,1.484244293858513e+18,Bitcoin is proving once again that its long-touted classification as an uncorrelated asset is more folklore than fact as its correctional with tech stocks continues to climb ,business,174,85.0,0.1000000014901161,0.1000000014901161,en,OTHER,/Finance/Investing/Currencies & Foreign Exchange
86,86,2022-01-20 18:43:05+00:00,1.484235045787386e+18,A U.S. House subcommittee hearing on “Cleaning Up Cryptocurrency” kicked off with one representative calling the energy consumption of some Bitcoin mines “deeply concerning” ,business,174,86.0,-0.6000000238418579,0.6000000238418579,en,"PERSON,OTHER,ORGANIZATION,EVENT,NUMBER",
87,87,2022-01-20 18:35:02+00:00,1.4842330202153329e+18,The SEC rejects Intercontinental Exchange’s NYSE Arca proposal for a Bitcoin ETF from Anthony Scaramucci’s Skybridge Capital ,business,125,87.0,-0.3000000119209289,0.3000000119209289,en,"OTHER,ORGANIZATION,PERSON",
88,88,2022-01-20 16:54:06+00:00,1.4842076197032015e+18,Investors in one of North America’s largest Bitcoin miners approve a plan to go public through an estimated billion SPAC deal ,business,126,88.0,0.1000000014901161,0.1000000014901161,en,"OTHER,PERSON,NUMBER,LOCATION",/Finance/Investing/Currencies & Foreign Exchange
89,89,2022-01-20 16:32:16+00:00,1.484202126104576e+18,"New York City’s new mayor, Eric Adams, said his first paycheck will be converted into bitcoin and ethereum. The move comes after he said last year he would take his first three paychecks in cryptocurrency. ",WSJ,206,89.0,0.0,0.1000000014901161,en,"OTHER,PERSON,NUMBER,LOCATION",/Finance/Investing/Currencies & Foreign Exchange
90,90,2022-01-20 16:22:06+00:00,1.4841995672141947e+18,"Bitcoin, Crypto, DeFi—oh my. Here's what the future of Web3 has in store for decentralized finance. Watch the full episode here ",business,128,90.0,0.1000000014901161,0.3000000119209289,en,"OTHER,LOCATION,WORK_OF_ART",/Finance/Investing/Currencies & Foreign Exchange
91,91,2022-01-20 16:11:31+00:00,1.4841969025853932e+18,Russia’s central bank proposes a complete ban on crypto mining and trading. Bitcoin’s reaction: No worries ,business,107,91.0,-0.1000000014901161,0.5,en,"OTHER,ORGANIZATION,LOCATION",/Finance/Investing/Currencies & Foreign Exchange
92,92,2022-01-20 15:51:59+00:00,1.4841919864626913e+18,New York City Mayor Eric Adams says his first paycheck will be converted into Ethereum and Bitcoin ,business,99,92.0,-0.2000000029802322,0.2000000029802322,en,"OTHER,PERSON,LOCATION",
93,93,2022-01-20 15:26:12+00:00,1.4841855009236664e+18,"Bitcoin, Crypto, DeFi—oh my. Here's what the future of Web3 has in store for decentralized finance. Watch the full episode here ",business,128,93.0,0.1000000014901161,0.3000000119209289,en,"OTHER,LOCATION,WORK_OF_ART",/Finance/Investing/Currencies & Foreign Exchange
94,94,2022-01-20 12:20:07+00:00,1.4841386691287e+18,"Turkish President Recep Tayyip Erdogan is set to meet with the leader of El Salvador, the first country to make bitcoin legal tender ",WSJ,133,94.0,0.0,0.0,en,"OTHER,PERSON,LOCATION",/News/Business News
95,95,2022-01-20 12:08:09+00:00,1.48413565971558e+18,Bitcoin. Blockchain. Web3. Make sense of it all with our new newsletter. Sign up here ,business,86,95.0,0.2000000029802322,1.100000023841858,en,"OTHER,WORK_OF_ART",
96,96,2022-01-20 02:11:06+00:00,1.4839854066978693e+18,Arkansas to tech workers: We'll pay you bitcoin to move (via ,business,61,96.0,-0.2000000029802322,0.2000000029802322,en,"PERSON,ORGANIZATION",
97,97,2022-01-20 02:04:08+00:00,1.4839836544267592e+18,Start 2022 with a better understanding of Bitcoin. Be the first to know when our Bloomberg Crypto newsletter launches. Sign up to get the biggest crypto stories in your inbox ,business,175,97.0,0.1000000014901161,0.4000000059604645,en,"OTHER,WORK_OF_ART,ORGANIZATION,DATE,NUMBER",/Finance/Investing/Currencies & Foreign Exchange
98,98,2022-01-20 00:04:02+00:00,1.483953428506288e+18,"Even after Bitcoin’s recent 40% slide, the head of MicroStrategy say he’ll never back down on the company's multibillion bet on crypto ",business,135,98.0,-0.4000000059604645,0.4000000059604645,en,"PERSON,OTHER,ORGANIZATION,NUMBER",/Finance/Investing/Currencies & Foreign Exchange
